abalo sísmico
acampamento militar
agente secreto
água doce
água mineral
alarme falso
algodão-doce
alta temporada
alta-costura
alto mar
alto-falante
amigo oculto
amigo secreto
amor-próprio
ano-novo
ar condicionado
ar livre
arma branca
ato falho
banho turco
batata-doce
bebida alcoólica
bode expiatório
braço direito
buraco negro
café colonial
caixa-forte
caixa-preta
caixeiro viajante
câmara fria
carne branca
carne vermelha
carro-forte
carta aberta
centro comercial
centro espírita
cerca viva
céu aberto
cheiro-verde
circuito integrado
círculo vicioso
círculo virtuoso
classe executiva
colégio militar
coluna social
comida caseira
companhia aérea
compound
conta-corrente
coração partido
corda bamba
cordas vocais
curto-circuito
deputado federal
desfile militar
direitos humanos
disco rígido
disco voador
efeito especial
elefante branco
escada rolante
estrela cadente
exame clínico
exame laboratorial
farinha integral
febre amarela
ficha limpa
fila indiana
fio condutor
força bruta
gato-pingado
gelo-seco
golpe baixo
governo federal
gripe aviária
gripe suína
guarda-florestal
jogo duro
juízo final
leite integral
lista negra
livre-docente
livro aberto
longa data
longa-metragem
lua cheia
lua nova
lugar-comum
má-fé
magia negra
mão-fechada
máquina virtual
mar aberto
maré alta
maré baixa
massa cinzenta
mau contato
mau-humor
mau-olhado
mercado negro
mesa-redonda
montanha-russa
navio negreiro
nó cego
novo mundo
novo-rico
núcleo atômico
olho gordo
olho mágico
olho nu
ônibus executivo
ovelha negra
pão-duro
papel higiênico
paraíso fiscal
pastor alemão
pau-mandado
pavio curto
pé quente
pé-direito
pé-frio
pente fino
peso morto
planta baixa
poção mágica
pólo-aquático
ponto cego
ponto forte
ponto fraco
prato feito
primeira infância
primeira mão
primeira necessidade
primeira-dama
primeiro ministro
primeiro plano
príncipe encantado
processo seletivo
pronto-socorro
puro-sangue
quadro-negro
queda livre
quinta categoria
rede social
regime político
relógio analógico
relógio biológico
reta final
roda gigante
roleta russa
saia justa
sala cirúrgica
salão paroquial
sangue azul
sangue frio
sangue quente
secretária eletrônica
segundas intenções
segundo plano
sentença judicial
sétima arte
sexto sentido
sinal verde
sistema político
tapete vermelho
tartaruga-marinha
tela plana
tempo real
terceira idade
terceira pessoa
tiro livre
trabalho braçal
trabalho escravo
vaca louca
vinho branco
vinho tinto
vista grossa
viva voz
vôo doméstico
vôo internacional
voto secreto
